Datetime,pm25,dew_temp,pbl,surface_air_temp,surface_pressure,surface_skin_temp,surface_wind_temp,surface_precipitation
2001-02-28,12.3,15.154876266004566,1136.6600043666667,22.87233952203196,915.9896855125571,23.894687505340183,4.817986583098173,0.14750304415136986
2001-03-31,8.51,15.137535132831049,1138.45318335,22.89675115148402,916.0180919520548,23.92706402657991,4.822288961200913,0.1468554422326484
2001-04-30,4.78,15.120753391050227,1140.18851785,22.920375309018265,916.0455820547945,23.958396143908676,4.826452552913241,0.14622873069840184
2001-05-31,6.08,15.10341225787671,1141.9816968333334,22.94478693847032,916.0739884942923,23.990772665148402,4.830754931015981,0.14558112877968038
2001-06-30,8.51,15.08663051609589,1143.7170313333334,22.968411096004566,916.1014785970319,24.02210478247717,4.83491852272831,0.1449544172454338
2001-07-31,16.2,15.069289382922374,1145.5102103166666,22.99282272545662,916.1298850365297,24.054481303716894,4.83922090083105,0.14430681532671233
2001-08-31,21.3,15.051948249748857,1147.3033893000002,23.017234354908677,916.1582914760274,24.08685782495662,4.843523278933789,0.14365921340799087
2001-09-30,18.7,15.035166507968036,1149.0387238,23.040858512442924,916.1857815787671,24.11818994228539,4.847686870646118,0.1430325018737443
2001-10-31,11.3,15.01782537479452,1150.8319027833334,23.065270141894977,916.2141880182648,24.150566463525116,4.851989248748858,0.14238489995502285
2001-11-30,7.15,15.001043633013698,1152.5672372833335,23.088894299429224,916.2416781210046,24.181898580853883,4.856152840461187,0.14175818842077625
2001-12-31,11.46275362,14.983702499840183,1154.3604162666668,23.11330592888128,916.2700845605023,24.21427510209361,4.860455218563927,0.1411105865020548
2002-01-31,12.2,14.966361366666666,1156.15359525,23.137717558333335,916.298491,24.246651623333335,4.864757596666666,0.14046298458333334
2002-02-28,12.3,14.947839760009131,1159.688007166895,23.1599242106621,916.2778823799086,24.27278009821918,4.8657123558812785,0.14025882501255707
2002-03-31,5.68,14.927333695495433,1163.6011060748858,23.18451014716895,916.255065693379,24.30170805255708,4.866769410726027,0.1400327912020548
2002-04-30,11.46275362,14.907489116933789,1167.3879759858448,23.20830298894977,916.2329850289955,24.329702847077627,4.867792367027397,0.13981404880479453
2002-05-31,8.68,14.88698305242009,1171.3010748938357,23.23288892545662,916.2101683424657,24.358630801415526,4.868849421872146,0.13958801499429224
2002-06-30,10.9,14.867138473858446,1175.0879448047947,23.256681767237446,916.1880876780822,24.386625595936074,4.869872378173516,0.13936927259703197
2002-07-31,17.6,14.846632409344748,1179.0010437127855,23.281267703744295,916.1652709915525,24.415553550273973,4.870929433018264,0.13914323878652968
2002-08-31,14.4,14.82612634483105,1182.9141426207764,23.305853640251144,916.1424543050227,24.444481504611876,4.871986487863013,0.1389172049760274
2002-09-30,12.2,14.806281766269406,1186.7010125317352,23.329646482031965,916.1203736406392,24.472476299132424,4.873009444164383,0.1386984625787671
2002-10-31,10.8,14.785775701755707,1190.614111439726,23.354232418538814,916.0975569541096,24.501404253470323,4.874066499009132,0.13847242876826485
2002-11-30,6.93,14.765931123194063,1194.400981350685,23.378025260319635,916.0754762897259,24.52939904799087,4.875089455310501,0.13825368637100457
2002-12-31,7.37,14.745425058680365,1198.3140802586759,23.402611196826484,916.0526596031963,24.55832700232877,4.876146510155251,0.13802765256050228
2003-01-31,9.21,14.724918994166666,1202.2271791666667,23.427197133333333,916.0298429166666,24.58725495666667,4.877203564999999,0.13780161875
2003-02-28,10.6,14.753876525189497,1198.5325729337899,23.3990113769863,916.0429284801369,24.554670420009135,4.8783390302054785,0.13928195693173515
2003-03-31,8.85,14.785936648821917,1194.442116033105,23.367805718173518,916.0574160682647,24.518594682995435,4.8795961523972595,0.14092090277579908
2003-04-30,5.63,14.816962574917808,1190.483609355023,23.337606693515983,916.0714363148401,24.48368267943379,4.8808127222602735,0.14250697939908674
2003-05-31,7.97,14.849022698550227,1186.393152454338,23.306401034703196,916.0859239029679,24.447606942420094,4.8820698444520545,0.14414592524315067
2003-06-30,8.21,14.880048624646118,1182.4346457762558,23.27620201004566,916.0999441495433,24.41269493885845,4.883286414315068,0.14573200186643834
2003-07-31,11.5,14.912108748278538,1178.3441888755708,23.244996351232878,916.1144317376711,24.37661920184475,4.884543536506849,0.14737094771050227
2003-08-31,17.3,14.944168871910959,1174.2537319748858,23.21379069242009,916.1289193257991,24.340543464831054,4.88580065869863,0.1490098935545662
2003-09-30,13.9,14.975194798006848,1170.2952252968037,23.183591667762556,916.1429395723744,24.30563146126941,4.8870172285616436,0.15059597017785387
2003-10-31,14.0,15.00725492163927,1166.2047683961189,23.152386008949772,916.1574271605023,24.26955572425571,4.8882743507534245,0.1522349160219178
